generator_id,fuel_type,capacity_mw,min_gen_mw,heat_rate_mmbtu_per_mwh,fuel_cost_per_mmbtu,variable_om_cost,startup_cost,ramp_rate_mw_per_hr,is_renewable,min_up_time,min_down_time,marginal_cost,generation_mw,timestamp,demand_mw,renewable_gen_mw,net_load_mw,curtailment_mw
Nuke_2,Nuclear,1285,1156,10.0,0.7,2,80000,50,0,24,24,9.0,1285.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Nuke_3,Nuclear,1258,1132,10.0,0.7,2,80000,50,0,24,24,9.0,1258.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Nuke_4,Nuclear,1296,1166,10.0,0.7,2,80000,50,0,24,24,9.0,1296.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_2,Gas,932,279,7.0,3.0,3,15000,300,0,6,4,24.0,932.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_1,Gas,945,283,7.0,3.0,3,15000,300,0,6,4,24.0,945.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_12,Gas,1096,328,7.0,3.0,3,15000,300,0,6,4,24.0,1096.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_11,Gas,1141,342,7.0,3.0,3,15000,300,0,6,4,24.0,1141.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_10,Gas,973,291,7.0,3.0,3,15000,300,0,6,4,24.0,973.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_9,Gas,1016,304,7.0,3.0,3,15000,300,0,6,4,24.0,1016.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_8,Gas,895,268,7.0,3.0,3,15000,300,0,6,4,24.0,895.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_7,Gas,848,254,7.0,3.0,3,15000,300,0,6,4,24.0,848.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_6,Gas,1064,319,7.0,3.0,3,15000,300,0,6,4,24.0,1064.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_5,Gas,1047,314,7.0,3.0,3,15000,300,0,6,4,24.0,1047.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_4,Gas,1022,306,7.0,3.0,3,15000,300,0,6,4,24.0,1022.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_3,Gas,1119,335,7.0,3.0,3,15000,300,0,6,4,24.0,1119.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_15,Gas,913,273,7.0,3.0,3,15000,300,0,6,4,24.0,913.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_16,Gas,1076,322,7.0,3.0,3,15000,300,0,6,4,24.0,1076.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_13,Gas,894,268,7.0,3.0,3,15000,300,0,6,4,24.0,894.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_14,Gas,1016,304,7.0,3.0,3,15000,300,0,6,4,24.0,1016.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_17,Gas,1124,337,7.0,3.0,3,15000,300,0,6,4,24.0,1124.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_18,Gas,1134,340,7.0,3.0,3,15000,300,0,6,4,24.0,1134.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_20,Gas,1071,321,7.0,3.0,3,15000,300,0,6,4,24.0,1071.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_19,Gas,1158,347,7.0,3.0,3,15000,300,0,6,4,24.0,1158.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_22,Gas,867,260,7.0,3.0,3,15000,300,0,6,4,24.0,867.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_25,Gas,920,276,7.0,3.0,3,15000,300,0,6,4,24.0,920.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_24,Gas,828,248,7.0,3.0,3,15000,300,0,6,4,24.0,828.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_23,Gas,1059,317,7.0,3.0,3,15000,300,0,6,4,24.0,1059.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CCGT_21,Gas,922,276,7.0,3.0,3,15000,300,0,6,4,24.0,922.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_2,Coal,713,285,10.5,2.5,4,30000,100,0,12,10,30.25,713.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_9,Coal,808,323,10.5,2.5,4,30000,100,0,12,10,30.25,808.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_10,Coal,628,251,10.5,2.5,4,30000,100,0,12,10,30.25,628.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_4,Coal,879,351,10.5,2.5,4,30000,100,0,12,10,30.25,879.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_3,Coal,801,320,10.5,2.5,4,30000,100,0,12,10,30.25,801.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_5,Coal,810,324,10.5,2.5,4,30000,100,0,12,10,30.25,810.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_6,Coal,774,309,10.5,2.5,4,30000,100,0,12,10,30.25,574.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_8,Coal,895,358,10.5,2.5,4,30000,100,0,12,10,30.25,395.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_7,Coal,800,320,10.5,2.5,4,30000,100,0,12,10,30.25,300.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Coal_1,Coal,757,302,10.5,2.5,4,30000,100,0,12,10,30.25,257.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_1,Gas,269,13,10.0,3.5,6,5000,600,0,1,1,41.0,269.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_2,Gas,368,18,10.0,3.5,6,5000,600,0,1,1,41.0,368.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_3,Gas,371,18,10.0,3.5,6,5000,600,0,1,1,41.0,371.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_4,Gas,289,14,10.0,3.5,6,5000,600,0,1,1,41.0,289.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_5,Gas,282,14,10.0,3.5,6,5000,600,0,1,1,41.0,282.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_6,Gas,287,14,10.0,3.5,6,5000,600,0,1,1,41.0,287.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_7,Gas,372,18,10.0,3.5,6,5000,600,0,1,1,41.0,372.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_8,Gas,313,15,10.0,3.5,6,5000,600,0,1,1,41.0,313.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_9,Gas,307,15,10.0,3.5,6,5000,600,0,1,1,41.0,307.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_10,Gas,276,13,10.0,3.5,6,5000,600,0,1,1,41.0,260.5497929500052,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_11,Gas,227,11,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_12,Gas,245,12,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_13,Gas,387,19,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_14,Gas,275,13,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_15,Gas,368,18,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_16,Gas,333,16,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_17,Gas,286,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_18,Gas,223,11,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_19,Gas,343,17,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_20,Gas,290,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_21,Gas,295,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_22,Gas,348,17,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_23,Gas,289,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_24,Gas,244,12,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_25,Gas,312,15,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_26,Gas,249,12,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_27,Gas,239,11,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_28,Gas,300,15,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_29,Gas,205,10,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_30,Gas,388,19,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_31,Gas,380,19,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_32,Gas,297,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_33,Gas,230,11,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_34,Gas,200,10,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_35,Gas,224,11,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_36,Gas,300,15,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_37,Gas,216,10,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_38,Gas,303,15,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_39,Gas,388,19,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
CT_40,Gas,277,13,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 18:00:00,46127.080279,6899.889999999999,41188.549792950005,0
Nuke_1,Nuclear,1286,1157,10.0,0.7,2,80000,50,0,24,24,9.0,1286.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Nuke_2,Nuclear,1285,1156,10.0,0.7,2,80000,50,0,24,24,9.0,1285.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Nuke_3,Nuclear,1258,1132,10.0,0.7,2,80000,50,0,24,24,9.0,1258.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Nuke_4,Nuclear,1296,1166,10.0,0.7,2,80000,50,0,24,24,9.0,1296.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_2,Gas,932,279,7.0,3.0,3,15000,300,0,6,4,24.0,932.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_1,Gas,945,283,7.0,3.0,3,15000,300,0,6,4,24.0,945.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_12,Gas,1096,328,7.0,3.0,3,15000,300,0,6,4,24.0,1096.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_11,Gas,1141,342,7.0,3.0,3,15000,300,0,6,4,24.0,1141.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_10,Gas,973,291,7.0,3.0,3,15000,300,0,6,4,24.0,973.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_9,Gas,1016,304,7.0,3.0,3,15000,300,0,6,4,24.0,1016.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_8,Gas,895,268,7.0,3.0,3,15000,300,0,6,4,24.0,895.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_7,Gas,848,254,7.0,3.0,3,15000,300,0,6,4,24.0,848.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_6,Gas,1064,319,7.0,3.0,3,15000,300,0,6,4,24.0,1064.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_5,Gas,1047,314,7.0,3.0,3,15000,300,0,6,4,24.0,1047.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_4,Gas,1022,306,7.0,3.0,3,15000,300,0,6,4,24.0,1022.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_3,Gas,1119,335,7.0,3.0,3,15000,300,0,6,4,24.0,1119.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_15,Gas,913,273,7.0,3.0,3,15000,300,0,6,4,24.0,913.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_16,Gas,1076,322,7.0,3.0,3,15000,300,0,6,4,24.0,1076.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_13,Gas,894,268,7.0,3.0,3,15000,300,0,6,4,24.0,894.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_14,Gas,1016,304,7.0,3.0,3,15000,300,0,6,4,24.0,1016.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_17,Gas,1124,337,7.0,3.0,3,15000,300,0,6,4,24.0,1124.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_18,Gas,1134,340,7.0,3.0,3,15000,300,0,6,4,24.0,1134.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_20,Gas,1071,321,7.0,3.0,3,15000,300,0,6,4,24.0,1071.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_19,Gas,1158,347,7.0,3.0,3,15000,300,0,6,4,24.0,1158.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_22,Gas,867,260,7.0,3.0,3,15000,300,0,6,4,24.0,867.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_25,Gas,920,276,7.0,3.0,3,15000,300,0,6,4,24.0,920.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_24,Gas,828,248,7.0,3.0,3,15000,300,0,6,4,24.0,828.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_23,Gas,1059,317,7.0,3.0,3,15000,300,0,6,4,24.0,1059.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CCGT_21,Gas,922,276,7.0,3.0,3,15000,300,0,6,4,24.0,922.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_2,Coal,713,285,10.5,2.5,4,30000,100,0,12,10,30.25,713.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_9,Coal,808,323,10.5,2.5,4,30000,100,0,12,10,30.25,808.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_10,Coal,628,251,10.5,2.5,4,30000,100,0,12,10,30.25,628.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_4,Coal,879,351,10.5,2.5,4,30000,100,0,12,10,30.25,879.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_3,Coal,801,320,10.5,2.5,4,30000,100,0,12,10,30.25,801.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_5,Coal,810,324,10.5,2.5,4,30000,100,0,12,10,30.25,810.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_6,Coal,774,309,10.5,2.5,4,30000,100,0,12,10,30.25,674.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_8,Coal,895,358,10.5,2.5,4,30000,100,0,12,10,30.25,495.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_7,Coal,800,320,10.5,2.5,4,30000,100,0,12,10,30.25,400.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Coal_1,Coal,757,302,10.5,2.5,4,30000,100,0,12,10,30.25,357.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_1,Gas,269,13,10.0,3.5,6,5000,600,0,1,1,41.0,269.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_2,Gas,368,18,10.0,3.5,6,5000,600,0,1,1,41.0,368.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_3,Gas,371,18,10.0,3.5,6,5000,600,0,1,1,41.0,371.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_4,Gas,289,14,10.0,3.5,6,5000,600,0,1,1,41.0,289.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_5,Gas,282,14,10.0,3.5,6,5000,600,0,1,1,41.0,282.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_6,Gas,287,14,10.0,3.5,6,5000,600,0,1,1,41.0,287.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_7,Gas,372,18,10.0,3.5,6,5000,600,0,1,1,41.0,372.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_8,Gas,313,15,10.0,3.5,6,5000,600,0,1,1,41.0,313.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_9,Gas,307,15,10.0,3.5,6,5000,600,0,1,1,41.0,307.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_10,Gas,276,13,10.0,3.5,6,5000,600,0,1,1,41.0,276.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_11,Gas,227,11,10.0,3.5,6,5000,600,0,1,1,41.0,227.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_12,Gas,245,12,10.0,3.5,6,5000,600,0,1,1,41.0,245.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_13,Gas,387,19,10.0,3.5,6,5000,600,0,1,1,41.0,249.82069410000258,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_14,Gas,275,13,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_15,Gas,368,18,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_16,Gas,333,16,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_17,Gas,286,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_18,Gas,223,11,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_19,Gas,343,17,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_20,Gas,290,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_21,Gas,295,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_22,Gas,348,17,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_23,Gas,289,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_24,Gas,244,12,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_25,Gas,312,15,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_26,Gas,249,12,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_27,Gas,239,11,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_28,Gas,300,15,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_29,Gas,205,10,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_30,Gas,388,19,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_31,Gas,380,19,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_32,Gas,297,14,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_33,Gas,230,11,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_34,Gas,200,10,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_35,Gas,224,11,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_36,Gas,300,15,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_37,Gas,216,10,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_38,Gas,303,15,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_39,Gas,388,19,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
CT_40,Gas,277,13,10.0,3.5,6,5000,600,0,1,1,41.0,0.0,2024-01-10 19:00:00,48343.853042,8414.5,41925.8206941,0
Nuke_1,Nuclear,1286,1157,10.0,0.7,2,80000,50,0,24,24,9.0,1286.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
Nuke_2,Nuclear,1285,1156,10.0,0.7,2,80000,50,0,24,24,9.0,1285.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
Nuke_3,Nuclear,1258,1132,10.0,0.7,2,80000,50,0,24,24,9.0,1258.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
Nuke_4,Nuclear,1296,1166,10.0,0.7,2,80000,50,0,24,24,9.0,1296.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_2,Gas,932,279,7.0,3.0,3,15000,300,0,6,4,24.0,932.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_1,Gas,945,283,7.0,3.0,3,15000,300,0,6,4,24.0,945.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_12,Gas,1096,328,7.0,3.0,3,15000,300,0,6,4,24.0,1096.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_11,Gas,1141,342,7.0,3.0,3,15000,300,0,6,4,24.0,1141.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_10,Gas,973,291,7.0,3.0,3,15000,300,0,6,4,24.0,973.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_9,Gas,1016,304,7.0,3.0,3,15000,300,0,6,4,24.0,1016.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_8,Gas,895,268,7.0,3.0,3,15000,300,0,6,4,24.0,895.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_7,Gas,848,254,7.0,3.0,3,15000,300,0,6,4,24.0,848.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_6,Gas,1064,319,7.0,3.0,3,15000,300,0,6,4,24.0,1064.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_5,Gas,1047,314,7.0,3.0,3,15000,300,0,6,4,24.0,1047.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_4,Gas,1022,306,7.0,3.0,3,15000,300,0,6,4,24.0,1022.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_3,Gas,1119,335,7.0,3.0,3,15000,300,0,6,4,24.0,1119.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_15,Gas,913,273,7.0,3.0,3,15000,300,0,6,4,24.0,913.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_16,Gas,1076,322,7.0,3.0,3,15000,300,0,6,4,24.0,1076.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
CCGT_13,Gas,894,268,7.0,3.0,3,15000,300,0,6,4,24.0,894.0,2024-01-10 20:00:00,48651.622223,7404.76,43309.20533415,0
